actor_episodes,actor_steps,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,policy_loss
18227,51487,0.34511685,3678,9050,20970,1535.6151876449585,0.44096714
18242,51526,0.34856552,3681,9062,20999,1536.727763414383,0.4475723
18262,51585,0.4608597,3681,9062,21024,1537.8319580554962,0.45622212
18283,51643,0.30348444,3685,9078,21042,1539.0123987197876,0.46982452
18300,51690,0.28845218,3688,9090,21065,1540.1173107624054,0.40615273
18324,51748,0.40826097,3691,9102,21084,1541.2214682102203,0.42539647
18341,51789,0.3163414,3694,9114,21106,1542.4651181697845,0.4377203
18363,51845,0.38332456,3697,9126,21130,1543.5728940963745,0.45520553
18392,51930,0.3247235,3704,9154,21149,1544.7148382663727,0.45505142
18413,51983,0.43307602,3708,9170,21170,1545.8893098831177,0.44391167
18430,52031,0.3594755,3711,9182,21196,1547.079449892044,0.44039303
18447,52081,0.36248153,3714,9194,21216,1548.2670106887817,0.4112829
18462,52123,0.31932846,3717,9206,21234,1549.4817962646484,0.45574158
18483,52180,0.43741107,3721,9222,21259,1550.679391860962,0.4355296
18498,52218,0.29278067,3721,9222,21278,1551.8665344715118,0.4423043
18515,52266,0.28366348,3724,9234,21301,1552.9881811141968,0.4255941
18535,52319,0.41907108,3727,9246,21316,1554.0924785137177,0.4416883
18553,52364,0.2871683,3730,9258,21341,1555.231707572937,0.34590048
18569,52407,0.39950922,3734,9274,21361,1556.3350462913513,0.36478293
18611,52518,0.30180755,3741,9302,21383,1557.5921330451965,0.3644952
18629,52560,0.3302019,3745,9318,21404,1558.7343819141388,0.34446698
18655,52618,0.3281683,3748,9330,21423,1559.925508737564,0.3761525
18675,52672,0.32539374,3751,9342,21446,1561.0352907180786,0.36467278
18691,52713,0.34565595,3755,9358,21459,1562.2122101783752,0.3529504
18702,52748,0.4254449,3755,9358,21480,1563.3135986328125,0.3709852
18720,52797,0.29521784,3758,9370,21507,1564.6039853096008,0.39525753
18737,52845,0.35907468,3761,9382,21528,1565.710215330124,0.40888646
18761,52903,0.3601791,3765,9398,21549,1566.863555431366,0.4577163
18775,52942,0.37374097,3768,9410,21570,1567.988716840744,0.41409385
18792,52990,0.46447176,3772,9426,21593,1569.140967130661,0.37461925
18813,53048,0.37331143,3776,9442,21612,1570.1278653144836,0.3393636
18853,53148,0.3185749,3782,9466,21638,1571.522712945938,0.44295248
18870,53193,0.42191705,3785,9478,21667,1572.6688601970673,0.4463756
